,1,2,3,4,5,6,7,8,0
"['1', ' ', ' ', ' ', '1', '1', ' ', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', ' ', '2', ' ', '1', '1', ' ', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', ' ', '2', ' ', '1', '1', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '2', ' ', '1', '1', '1', '2', '2']",0.0,0.0,0.3940399,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '2', '1', '1', '1', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', ' ', ' ', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', ' ', ' ', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', ' ', ' ', ' ', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', ' ', '2', ' ', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.490099501,0.0,0.0,0.0
"['2', '1', '2', ' ', '2', '1', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', ' ', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940399,0.0
"['1', ' ', '1', '2', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '1', '2', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
"['1', '2', '1', '2', '2', '1', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '1', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', '1', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', '1', ' ', '1', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '2', '1', ' ', '1', ' ', '1', '2']",0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '2', '1', '1', '1', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', ' ', '1', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', ' ', '1', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58519850599,0.0
"['2', ' ', '1', ' ', ' ', '1', '2', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', '1', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', '1', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', '1', ' ', '1', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '1', ' ', '1', '1', '2', '2']",0.0,0.0,0.0,0.49009950100000005,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '1', '1', '1', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '2', ' ', ' ', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', ' ', '2', ' ', ' ', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '2', ' ', ' ', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.29701,0.0,0.0,0.0,0.0,0.0
"['1', '2', '2', ' ', '1', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', ' ', ' ', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', ' ', ' ', ' ', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', ' ', ' ', '2', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"[' ', '1', '1', ' ', ' ', '2', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', ' ', '2', '2', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"[' ', '1', '1', ' ', '2', '2', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', ' ', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', ' ', ' ', '1', ' ', ' ']",0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', ' ', ' ', '1', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '2', ' ', ' ', '1', '1', ' ']",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '2', ' ', '1', '1', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '2', ' ', '1', '1', '1', '2']",0.0,0.0,0.0,0.6793465209301,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '2', '1', '1', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', '1', ' ', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', '1', ' ', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', '1', ' ', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '2', '1', '2', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.0,0.0
"[' ', ' ', '1', '2', '1', '2', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', ' ', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', ' ', '1', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', ' ', '1', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19899999999999998,0.0
"['2', '2', '1', ' ', ' ', '1', '2', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '2', ' ', ' ', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '2', ' ', '1', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', ' ', '1', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', ' ', '1', '1', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', '2', ' ', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
"[' ', '2', '1', '2', ' ', '2', '1', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', ' ', ' ', ' ', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', ' ', ' ', ' ', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', ' ', ' ', '2', '1']",0.0,0.0,0.0,0.0,0.49009950100000005,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', '1', ' ', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', '2', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', '2', ' ', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', '2', ' ', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', '2', '1', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', '2', '1', '1', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
"['2', ' ', '1', '1', '2', '1', '1', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', '2', ' ', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', '2', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', '2', '2', '1', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', '2', '2', '1', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', '2', '2', '1', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '2', '2', '1', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.6793465209301,0.0,0.0
"['2', '1', '2', '2', '2', '1', '1', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '1', ' ', '2', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '1', ' ', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', '1', ' ', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', '1', '1', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', '1', '1', '2', '1', ' ', ' ']",0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '1', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', ' ', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '1', ' ', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', '1', ' ', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', '1', '1', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', '1', '1', '2', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', '1', '1', '2', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', '1', '1', '2', '1', '1', '2']",0.0,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '1', '2', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '2', ' ', ' ', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '2', ' ', '2', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '2', ' ', '2', ' ', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', ' ', '2', ' ', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '1', '2', ' ', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '1', '2', ' ', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '2', '1', '2', '1', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', '2', ' ', ' ', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', '2', ' ', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', '2', ' ', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', '2', ' ', ' ', '1', '2', '2']",0.0,0.0,0.0,0.3940399,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', '2', '1', ' ', '1', '2', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', '1', '2', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', '1', '2', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', '1', '2', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '2', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '2', ' ', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '2', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.6793465209301,0.0,0.0,0.0
"['2', '2', '1', '1', '2', '2', '1', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', ' ', '1', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', '1', '1', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', '1', '1', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.490099501,0.0,0.0,0.0,0.0
"[' ', '2', '2', '1', '1', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', '1', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '2', ' ', '1', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', ' ', '1', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '1', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '1', '1', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '1', '1', '2', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0
"['1', '1', '2', '2', '1', '1', '2', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '1', ' ', '2', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '2', '1', ' ', '2', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '2', '1', '1', '2', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', '1', '1', '2', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', '1', '1', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', '1', '1', '2', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199
"['1', '2', '2', '1', '1', '2', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '2', ' ', '1', ' ', '1', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', ' ', '1', ' ', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', ' ', '1', ' ', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', '1', ' ', '1', ' ', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', ' ', '1', ' ', '2', ' ']",0.0,0.0,0.0,0.29701,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '1', '1', ' ', '2', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', ' ', '2', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', ' ', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', ' ', ' ', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', ' ', ' ', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', ' ', '2', ' ', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '1', '1', '2', ' ', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', ' ', ' ', '1', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', ' ', '1', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', ' ', '1', '1', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', ' ', '1', '1', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', ' ', ' ', '1', '1', '2', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', ' ', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', '2', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', ' ', ' ', '2', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', ' ', '2', ' ', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', ' ', '2', '1', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '2', '1', '1', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '2', '1', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', ' ', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', ' ', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', '2', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
"['2', '1', '1', ' ', '2', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', '2', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', '2', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', '2', ' ', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', ' ', ' ', '2', ' ', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', ' ', '2', ' ', ' ', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', ' ', '2', ' ', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '1', '2', '2', '2', ' ', '1', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', ' ', '1', ' ', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', ' ', ' ', '1', '2', ' ', '1', ' ']",0.3940399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', ' ', '1', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', '2', '1', '2', ' ', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', ' ', '1', '2', '1', '2', ' ', '1', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', '1', ' ', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', '2', '1', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
"[' ', '2', '1', ' ', '2', '1', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', ' ', ' ', ' ', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', ' ', ' ', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', ' ', '1', ' ', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', ' ', '1', '2', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '1', '1', '2', '1', ' ', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '1', '1', '2', '1', '2', ' ', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['1', '2', '1', '1', '2', '1', '2', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', '2', ' ', ' ', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', ' ', '1', '2', '1', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '2', '1', '2', '1', ' ', ' ']",0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '2', '1', '2', '1', ' ', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', ' ', ' ', '2', '1', '2', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
"['1', ' ', ' ', '2', '1', '2', '1', '2', '1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', '1', ' ', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', '1', ' ', '2', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '2', '1', ' ', '1', ' ', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', '1', ' ', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', '1', '1', '2', '1', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', ' ', '1', '1', '2', '1', '2']",0.0,0.0,0.58519850599,0.0,0.0,0.0,0.0,0.0,0.0
"['2', '2', '1', '1', '1', '1', '2', '1', '2']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', ' ', ' ', ' ', '2', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[' ', '1', '1', ' ', ' ', '2', ' ', ' ', ' ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
